"Payment failed: %1","فشلت عملية الدفع: %1"
"Invalid response from gateway.","حدث خطأ في الاتصال ببوابة الدفع."
"No active quote found.","لا توجد سلة مشتريات نشطة حالياً."
"Order could not be created.","تعذّر إنشاء الطلب. يُرجى المحاولة مرة أخرى."
"Invalid response from Gateway","حدث خطأ في استجابة بوابة الدفع"
"Mobile number is not valid. Please use format %1","رقم الجوال غير صالح. الرجاء إدخال الرقم بالتنسيق: %1"
"Couldn't validate gateway response","تعذّر التحقق من بيانات الدفع."
"Intent successful","تمت العملية بنجاح."
"Intent data is missing in the response","بعض بيانات العملية غير متوفرة في الاستجابة."
"Please check your response","الرجاء مراجعة بياناتك والمحاولة مجددًا."
"Gateway returned non-200 response code: %1","أعادت بوابة الدفع رمز خطأ: %1"
"Payment data is missing or invalid in gateway response.","بيانات الدفع غير كاملة أو غير صحيحة."
"Payment validated successfully.","تم تأكيد الدفع بنجاح."
"Payment is still unprocessed.","عملية الدفع قيد المعالجة."
Iframe,"واجهة مدمجة"
Native,"مباشر"
Arabic,"العربية"
English,"الإنجليزية"
French,"الفرنسية"
"Authorize Only","تفويض فقط"
"Authorize and Capture","تفويض وتحويل فوري"
"Payment captured via MoneyHash. Transaction ID: %1. Authorization Code: %2. Amount: %3 %4.","تمت معالجة الدفع عبر MoneyHash. رقم العملية: %1. رمز التفويض: %2. المبلغ: %3 %4."
"Payment captured via MoneyHash. Transaction ID: %1","تمت معالجة الدفع عبر MoneyHash. رقم العملية: %1"
"Signature verification failed","فشل التحقق من التوقيع الأمني."
"Could not save webhook transaction: %1","تعذّر حفظ بيانات العملية: %1"
"Webhook transaction with intent ID ""%1"" not found.","لا يمكن العثور على العملية ذات المعرّف: ""%1""."
Method,"طريقة الدفع"
card_scheme,"نوع البطاقة"
card_number,"رقم البطاقة"
card_expiry_date,"تاريخ انتهاء البطاقة"
funding_method,"طريقة التمويل"
issuer,"الجهة المصدِرة"
name_on_card,"الاسم على البطاقة"
"Additional Information Required","مطلوب معلومات إضافية"
"Please provide the following information to complete your payment:","الرجاء تزويدنا بالمعلومات التالية لإتمام عملية الدفع:"
"Complete Payment","إتمام الدفع"
"MoneyHash Payment","الدفع عبر MoneyHash"
Title,"العنوان"
"Enable MoneyHash Gateway","تفعيل بوابة الدفع MoneyHash"
"This will enable/disable MoneyHash Gateway","يتيح لك هذا الخيار تفعيل أو تعطيل بوابة الدفع MoneyHash."
"Enable Test Mode","تفعيل وضع الاختبار"
"Enable Logging","تفعيل سجل العمليات"
"Implementation Type","نوع التكامل"
"API Version","إصدار واجهة API"
"API Key","مفتاح API"
"Public Key","المفتاح العام"
"Flow ID","معرّف التدفق"
Language,"اللغة"
"Enable Tokenization","تفعيل حفظ بيانات البطاقة"
"Pay","ادفع"
"Card Holder Name","اسم حامل البطاقة"
"Card Number","رقم البطاقة"
"MM","الشهر"
"YY","السنة"
"CVV","رمز الأمان (CVV)"
