"Payment failed: %1","Le paiement a échoué : %1"
"Invalid response from gateway.","Une erreur est survenue lors de la communication avec la passerelle de paiement."
"No active quote found.","Aucun panier actif n’a été trouvé."
"Order could not be created.","La commande n’a pas pu être créée. Veuillez réessayer."
"Invalid response from Gateway","La réponse de la passerelle de paiement est invalide."
"Mobile number is not valid. Please use format %1","Numéro de mobile invalide. Veuillez utiliser le format : %1"
"Couldn't validate gateway response","La vérification de la réponse de la passerelle a échoué."
"Intent successful","L’opération a été réalisée avec succès."
"Intent data is missing in the response","Certaines données de l’opération sont manquantes dans la réponse."
"Please check your response","Veuillez vérifier vos informations et réessayer."
"Gateway returned non-200 response code: %1","La passerelle a renvoyé un code d’erreur : %1"
"Payment data is missing or invalid in gateway response.","Les données de paiement sont manquantes ou invalides."
"Payment validated successfully.","Le paiement a été confirmé avec succès."
"Payment is still unprocessed.","Le paiement est en cours de traitement."
Iframe,"Intégré (Iframe)"
Native,"Direct"
Arabic,"Arabe"
English,"Anglais"
French,"Français"
"Authorize Only","Autoriser uniquement"
"Authorize and Capture","Autoriser et encaisser"
"Payment captured via MoneyHash. Transaction ID: %1. Authorization Code: %2. Amount: %3 %4.","Paiement traité via MoneyHash. ID de transaction : %1. Code d’autorisation : %2. Montant : %3 %4."
"Payment captured via MoneyHash. Transaction ID: %1","Paiement traité via MoneyHash. ID de transaction : %1"
"Signature verification failed","La vérification de la signature a échoué."
"Could not save webhook transaction: %1","Impossible d’enregistrer la transaction : %1"
"Webhook transaction with intent ID ""%1"" not found.","Aucune transaction trouvée avec l’ID d’opération « %1 »."
Method,"Méthode de paiement"
card_scheme,"Type de carte"
card_number,"Numéro de carte"
card_expiry_date,"Date d’expiration"
funding_method,"Mode de financement"
issuer,"Émetteur"
name_on_card,"Nom sur la carte"
"Additional Information Required","Informations complémentaires requises"
"Please provide the following information to complete your payment:","Veuillez fournir les informations suivantes pour finaliser votre paiement :"
"Complete Payment","Finaliser le paiement"
"MoneyHash Payment","Paiement via MoneyHash"
Title,"Titre"
"Enable MoneyHash Gateway","Activer la passerelle MoneyHash"
"This will enable/disable MoneyHash Gateway","Cette option permet d’activer ou de désactiver la passerelle MoneyHash."
"Enable Test Mode","Activer le mode test"
"Enable Logging","Activer les journaux"
"Implementation Type","Type d’intégration"
"API Version","Version de l’API"
"API Key","Clé API"
"Public Key","Clé publique"
"Flow ID","ID de flux"
Language,"Langue"
"Enable Tokenization","Activer la mémorisation de la carte"
"Submit","Soumettre"
"Card Holder Name","Nom du titulaire de la carte"
"Card Number","Numéro de carte"
"MM","Mois"
"YY","Année"
"CVV","Code de sécurité (CVV)"
